acctsessionid,acctstarttime,upload,download,acctsessiontime,callingstationid,calledstationid,calledstation_ssid
19,d5b5edf659b455da651816aaa404ba63124d7c63d9737c9a4226d45000e242cf,2024-09-18 11:00:00,1,4,15.0,401fd7132169a1e0f562559ea13a9e06f4a1f358efcfb966621476614a0b5324,17c434b0737e4cd9cee9589874cf7659c78b84861080bca2eac6b74f48180740,Porto. Free Wi-Fi
20,f4dcd739861257287949d7c4e2e4973a44e93e7ec5961ec2103b1496ce86f573,2024-09-12 05:00:00,0,0,1.0,0fd9cc95e759275ad68a509605bdad06484fee815685d0e0358ec08b46928949,ea2e39e0d32082b803c0100edc002f8b011fb9381f725fc2867ba7fab23237f1,eduroam
21,0ef70719537f4ede7cf718703dba923a7daffea46acccd5a7acfdf2d3bee967a,2024-09-12 08:00:00,0,1,3.0,15f303ac974b4b2cf8180654a4bf91f041da31bb4f80fa46d808729fb8eb804e,01b7675673222f705ae8a4d45494d68ae6be119280eee9dd43d42df8c57f9118,eduroam
22,f1385a41e8034447177211466a03fbe1f4482f718753b42fbe43573352ca6b75,2024-09-12 09:00:00,0,0,0.0,590046371598e351fa507099c90f5aebb68b32a00bb6b29af51e8cc3d5457240,17c434b0737e4cd9cee9589874cf7659c78b84861080bca2eac6b74f48180740,Porto. Free Wi-Fi
23,4826b50f9ec7cedecc9bf40ca3209254df2991038040cf39a2b58d8738c5b57f,2024-09-12 06:00:00,0,0,122913.0,9019ab63db9acfd218c598dc07fd9937afacb4219aaad9f6bdd1b2095aa951d7,3669f4873a72f586b6f59aab1cca06629a9c96a583b4c6ec6b600ff67f332a09,Porto. Free Wi-Fi
24,6614f914db697c312c717884ab12bc1897a195f04b286ae1c0b1da2038495864,2024-09-12 11:00:00,0,0,0.0,4a14dfdea1914613d2709bdab544a87ee9b9d933adf7353d6a813ddd534442d9,6f2ed2e71e167341cbbce4447d8a9065f8370294352f1847a9b777103516a02f,Porto. Free Wi-Fi
25,c1982515c5f8d4c35094a0ba0f7ec4249cc66756746f6fe57bd7af53691a7061,2024-09-12 05:00:00,0,0,3.0,a3b6bc93e7dc88a883798df5aa5725a26d741809603c6eab25236d29e8807013,0b547614f0c8f2cef2d23e2787617042fe4b42aa008c4a9e31c8614ae84d2109,Porto. Free Wi-Fi
26,ffa6fdc1c1d7c5652b9495fc3402dffa002b7bfa5a11c67c4c8797da1d91b44f,2024-09-12 06:00:00,0,6,122920.0,b6c3409bcf10ff4a62acc9559c329a5bf206447227e238f40864b73fb63f91d1,f14830e965badc5726c798d976301411a21b877378cd729e36eae2acd63ab8ff,eduroam
27,dd3d0c96334d8ad6bd0d1aeac6c39bfdcb936576142c3506c6d2a42cb5adea81,2024-09-12 10:00:00,0,0,0.0,67921321b8b9bb123aefc547425db13096d41b0768de603b906de2aa42a3ad9b,b5fcffa8768a09dd24766b0d01b15491306cd47feac39804e77e5cb1b7df0fb0,Porto. Free Wi-Fi
28,e409fdc6a769229c1a08f624ec559a8d8495f68951b44c9358635c27c34107c6,2024-09-12 06:00:00,0,0,0.0,302dab9a46f5e2bd5dc3aea99cfc19b869212774aae34a37d8bb0a454667b6bd,87799b0b393c42088b6afbaf683cd455f1be1406a56b7043deb40b0cf2c63302,eduroam
29,35f53765a34262bdbaf5d2a364be1d0b27992d96c3d81720f4b89b668bfa6974,2024-09-12 05:00:00,0,0,4.0,3d9a7d4feed10409e14d240fc82696222e259a5c80698ab50cf1fa9b37ffe781,edb515855760a3a638384bf965de128a371a40e07dcff672c8f15fb6f3aa1d8a,eduroam
30,a1841a55181298ae8edfdaafc072be05f916ebd7f55a9bf1f7e59843c1e456a7,2024-09-12 05:00:00,0,0,1.0,0aa1f4f53bde47e6f73d2d50c3d322827cde7ff60b53cec5e71406a5def26539,0aa49fdeb89f751e939a0e7f9a7bd64f70684db8a0cf46ac6598c3ead64eb17a,Porto. Free Wi-Fi
31,7472f40fce71928a7f538d2613b811adbc9257c93bc20b8f1c33ad2ded3998ec,2024-09-12 09:00:00,0,5,7.0,8a971cab54a0c7c864ecb65cfda78cfe6327634341d76da0eb9ccbaca490a9fb,a1227438a31bab078b9b4f9b32a97ab2d09a6fe301883e2be92a481adfd0c546,eduroam
32,5d6d0e9802c30ba5554a13cd4080d5aaaa8880b21a033a6c8e1ad20fe8dd496b,2024-09-12 10:00:00,0,0,0.0,ad0ce43d2f4ae335c97d6cbba97a64509739ab2e9717d893ddd4eaeb842708c9,6f2ed2e71e167341cbbce4447d8a9065f8370294352f1847a9b777103516a02f,eduroam
33,e409fdc6a769229c1a08f624ec559a8d8495f68951b44c9358635c27c34107c6,2024-09-12 08:00:00,0,0,0.0,302dab9a46f5e2bd5dc3aea99cfc19b869212774aae34a37d8bb0a454667b6bd,2891d2862c2b603d136c41db8c02b9814e621c7129d18a0a080bf4c25b82ddd2,eduroam
34,01592c570c69ab20808c16a193aa3b469f4630f5486dca5b0911eb2af04477ac,2024-09-12 06:00:00,0,0,2.0,f99fed9412f03bd3befbb9a68d350dc37c313410ac49111fb59a878a0ef039c8,9f0287594c9476e9447c91908c23ac5f80553513ad9a30eee1a49381999958d9,Porto. Free Wi-Fi
